SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;Facharzt-zeitschriften;Current DEAL Cost Contribution (2023);APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
27;Aquatic Sciences;Springer;Life Sciences;https://springer.com/27;1015-1621;1420-9055;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
28;Journal of Evolution Equations;Birkh�user;Mathematics;https://springer.com/28;1424-3199;1424-3202;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
29;Selecta Mathematica;Birkh�user;Mathematics;https://springer.com/29;1022-1824;1420-9020;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
30;Nonlinear Differential Equations and Applications NoDEA;Birkh�user;Mathematics;https://springer.com/30;1021-9722;1420-9004;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
31;Transformation Groups;Birkh�user;Mathematics;https://springer.com/31;1083-4362;1531-586X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
32;Milan Journal of Mathematics;Birkh�user;Mathematics;https://springer.com/32;1424-9286;1424-9294;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
33;Zeitschrift f�r Angewandte Mathematik und Physik;Birkh�user;Engineering;https://springer.com/33;0044-2275;1420-9039;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
34;Circuits, Systems, and Signal Processing;Birkh�user;Engineering;https://springer.com/34;0278-081X;1531-5878;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
35;Alpine Botany;Springer;Life Sciences;https://springer.com/35;1664-2201;1664-221X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
37;Computational Complexity;Birkh�user;Computer Science;https://springer.com/37;1016-3328;1420-8954;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
39;Geometric and Functional Analysis;Birkh�user;Mathematics;https://springer.com/39;1016-443X;1420-8970;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
40;Insectes Sociaux;Springer;Life Sciences;https://springer.com/40;0020-1812;1420-9098;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
41;Journal of Fourier Analysis and Applications;Birkh�user;Mathematics;https://springer.com/41;1069-5869;1531-5851;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
44;Medicinal Chemistry Research;Springer;Biomedicine;https://springer.com/44;1054-2523;1554-8120;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
48;NTM Zeitschrift f�r Geschichte der Wissenschaften, Technik und Medizin;Birkh�user;History;https://springer.com/48;0036-6978;1420-9144;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;Publishing Model will remain Open Choice in 2023.;;2022-11-25
49;Chemoecology;Springer;Life Sciences;https://springer.com/49;0937-7409;1423-0445;Open Choice;;;;;CC BY;standard (Oasis);ISSN change, Change of Hybrid Specific Workflow;2020;;;2022-01-03
52;Chinesische Medizin / Chinese Medicine;SpringerMedizin;Medicine & Public Health;https://springer.com/52;0930-2786;2196-5668;Subscription-only;;;;;;;;;Print subscription no longer available.;;2021-04-09
53;coloproctology;SpringerMedizin;Medicine & Public Health;https://springer.com/53;0174-2442;1615-6730;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;Journal Title updated;;2022-01-03
56;Journal of Orofacial Orthopedics / Fortschritte der Kieferorthop�die;SpringerMedizin;Dentistry;https://springer.com/56;1434-5293;1615-6714;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;Journal Title updated;;2022-01-03
58;Heilberufe;SpringerMedizin;Medicine & Public Health;https://springer.com/58;0017-9604;1867-1535;Subscription-only;;;;;;;;;;;
59;Herz;SpringerMedizin;Medicine & Public Health;https://springer.com/59;0340-9937;1615-6692;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
60;HNO Nachrichten;SpringerMedizin;Medicine & Public Health;https://springer.com/60;0177-1000;2198-6533;Subscription-only;;;;;;;;;;;
62;Clinical Neuroradiology;Springer;Medicine & Public Health;https://springer.com/62;1869-1439;1869-1447;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;APC updated;;2022-01-03
63;Medizinische Klinik - Intensivmedizin und Notfallmedizin;SpringerMedizin;Medicine & Public Health;https://springer.com/63;2193-6218;2193-6226;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
64;Operative Orthop�die und Traumatologie;SpringerMedizin;Medicine & Public Health;https://springer.com/64;0934-6694;1439-0981;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
66;Strahlentherapie und Onkologie;Springer;Medicine & Public Health;https://springer.com/66;0179-7158;1439-099X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;APC updated;;2022-01-03
68;European Journal of Trauma and Emergency Surgery;Springer;Medicine & Public Health;https://springer.com/68;1863-9933;1863-9941;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;APC updated;;2022-01-03
92;Uro-News;SpringerMedizin;Medicine & Public Health;https://springer.com/92;1432-9026;2196-5676;Subscription-only;;;;;;;;;;;
101;Die Anaesthesiologie;SpringerMedizin;Medicine & Public Health;https://springer.com/101;2731-6858;2731-6866;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 71 published as Der Anaesthesist.;;2022-11-02
103;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;Springer;Medicine & Public Health;https://springer.com/103;1436-9990;1437-1588;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
104;Die Chirurgie;SpringerMedizin;Medicine & Public Health;https://springer.com/104;2731-6971;2731-698X;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 93 published as Der Chirurg.;;2022-11-02
105;Die Dermatologie;SpringerMedizin;Medicine & Public Health;https://springer.com/105;2731-7005;2731-7013;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 73 published as Der Hautarzt.;;2022-11-02
106;HNO;SpringerMedizin;Medicine & Public Health;https://springer.com/106;0017-6192;1433-0458;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
107;European Journal of Wood and Wood Products;Springer;Life Sciences;https://springer.com/107;0018-3768;1436-736X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
108;Die Innere Medizin;SpringerMedizin;Medicine & Public Health;https://springer.com/108;2731-7080;2731-7099;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 73 published as Der Internist.;;2022-11-02
109;Journal of Molecular Medicine;Springer;Biomedicine;https://springer.com/109;0946-2716;1432-1440;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
112;Monatsschrift Kinderheilkunde;SpringerMedizin;Medicine & Public Health;https://springer.com/112;0026-9298;1433-0474;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
113;Die Unfallchirurgie;SpringerMedizin;Medicine & Public Health;https://springer.com/113;2731-7021;2731-703X;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 125 published as Der Unfallchirurg.;;2022-11-02
114;The Science of Nature;Springer;Life Sciences;https://springer.com/114;0028-1042;1432-1904;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
115;Der Nervenarzt;SpringerMedizin;Medicine & Public Health;https://springer.com/115;0028-2804;1433-0407;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
117;Die Radiologie;SpringerMedizin;Medicine & Public Health;https://springer.com/117;2731-7048;2731-7056;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 62 published as Der Radiologe.;;2022-11-02
120;Die Urologie;SpringerMedizin;Medicine & Public Health;https://springer.com/120;2731-7064;2731-7072;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 61 published as Der Urologe.;;2022-11-02
122;Theoretical and Applied Genetics;Springer;Life Sciences;https://springer.com/122;0040-5752;1432-2242;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
125;Diabetologia;Springer;Medicine & Public Health;https://springer.com/125;0012-186X;1432-0428;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
126;Mineralium Deposita;Springer;Earth Sciences;https://springer.com/126;0026-4598;1432-1866;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
127;Social Psychiatry and Psychiatric Epidemiology;Springer;Medicine & Public Health;https://springer.com/127;0933-7954;1433-9285;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;APC updated;;2022-01-03
128;Bulletin of Environmental Contamination and Toxicology;Springer;Environment;https://springer.com/128;0007-4861;1432-0800;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
129;Die Gyn�kologie;SpringerMedizin;Medicine & Public Health;https://springer.com/129;2731-7102;2731-7110;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change. Prior to Volume 55 published as Der Gyn�kologe.;;2022-11-02
132;Die Orthop�die;SpringerMedizin;Medicine & Public Health;https://springer.com/132;2731-7145;2731-7153;Open Choice;yes;;;;CC BY;standard (Oasis);Title Change, ISSN Change;2022;Title change Prior to Volume 51 published as Der Orthop�de.;;2022-11-02
134;Intensive Care Medicine;Springer;Medicine & Public Health;https://springer.com/134;0342-4642;1432-1238;Open Choice;;;;;CC BY-NC;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
138;Machine Vision and Applications;Springer;Computer Science;https://springer.com/138;0932-8092;1432-1769;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
142;Arthroskopie;SpringerMedizin;Medicine & Public Health;https://springer.com/142;0933-7946;1434-3924;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
145;Journal of Cryptology;Springer;Computer Science;https://springer.com/145;0933-2790;1432-1378;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;Hybrid Specific Workflow Details updated to standard (Oasis);;2022-01-03
146;AI & SOCIETY;Springer;Computer Science;https://springer.com/146;0951-5666;1435-5655;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
148;Journal of Population Economics;Springer;Economics;https://springer.com/148;0933-1433;1432-1475;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
153;Archive for Mathematical Logic;Springer;Mathematics;https://springer.com/153;0933-5846;1432-0665;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
158;Structural and Multidisciplinary Optimization;Springer;Engineering;https://springer.com/158;1615-147X;1615-1488;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
159;The Astronomy and Astrophysics Review;Springer;Engineering;https://springer.com/159;0935-4956;1432-0754;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
161;Continuum Mechanics and Thermodynamics;Springer;Engineering;https://springer.com/161;0935-1175;1432-0959;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
162;Theoretical and Computational Fluid Dynamics;Springer;Engineering;https://springer.com/162;0935-4964;1432-2250;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
163;Research in Engineering Design;Springer;Engineering;https://springer.com/163;0934-9839;1435-6066;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
167;Knee Surgery, Sports Traumatology, Arthroscopy;Springer;Medicine & Public Health;https://springer.com/167;0942-2056;1433-7347;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
168;The Annals of Regional Science;Springer;Economics;https://springer.com/168;0570-1864;1432-0592;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
170;The International Journal of Advanced Manufacturing Technology;Springer;Engineering;https://springer.com/170;0268-3768;1433-3015;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;List Price APC 2022 updated.;;2022-04-04
180;Computational Statistics;Springer;Statistics;https://springer.com/180;0943-4062;1613-9658;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
181;Empirical Economics;Springer;Economics;https://springer.com/181;0377-7332;1435-8921;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
182;International Journal of Game Theory;Springer;Economics;https://springer.com/182;0020-7276;1432-1270;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
184;Metrika;Springer;Statistics;https://springer.com/184;0026-1335;1435-926X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
186;Mathematical Methods of Operations Research;Springer;Mathematics;https://springer.com/186;1432-2994;1432-5217;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
187;Journal of Management Control;Springer;Business and Management;https://springer.com/187;2191-4761;2191-477X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
190;Journal of Geodesy;Springer;Earth Sciences;https://springer.com/190;0949-7714;1432-1394;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
191;Journal of Evolutionary Economics;Springer;Economics;https://springer.com/191;0936-9937;1432-1386;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
192;International Urogynecology Journal;Springer;Medicine & Public Health;https://springer.com/192;0937-3462;1433-3023;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
193;Shock Waves;Springer;Engineering;https://springer.com/193;0938-1287;1432-2153;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
194;Rechtsmedizin;SpringerMedizin;Medicine & Public Health;https://springer.com/194;0937-9819;1434-5196;Open Choice;yes;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;;;2022-01-03
198;Osteoporosis International;Springer;Medicine & Public Health;https://springer.com/198;0937-941X;1433-2965;Open Choice;;;;;CC BY-NC;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
199;Economic Theory;Springer;Economics;https://springer.com/199;0938-2259;1432-0479;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
200;Applicable Algebra in Engineering, Communication and Computing;Springer;Computer Science;https://springer.com/200;0938-1279;1432-0622;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
202;Electrical Engineering;Springer;Engineering;https://springer.com/202;0948-7921;1432-0487;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
203;Archives of Microbiology;Springer;Life Sciences;https://springer.com/203;0302-8933;1432-072X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
204;Archives of Toxicology;Springer;Biomedicine;https://springer.com/204;0340-5761;1432-0738;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
205;Archive for Rational Mechanics and Analysis;Springer;Engineering;https://springer.com/205;0003-9527;1432-0673;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
208;Mathematische Annalen;Springer;Mathematics;https://springer.com/208;0025-5831;1432-1807;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
209;Mathematische Zeitschrift;Springer;Mathematics;https://springer.com/209;0025-5874;1432-1823;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
210;Naunyn-Schmiedeberg's Archives of Pharmacology;Springer;Biomedicine;https://springer.com/210;0028-1298;1432-1912;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
211;Numerische Mathematik;Springer;Mathematics;https://springer.com/211;0029-599X;0945-3245;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
213;Psychopharmacology;Springer;Biomedicine;https://springer.com/213;0033-3158;1432-2072;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
214;Theoretical Chemistry Accounts;Springer;Chemistry;https://springer.com/214;1432-881X;1432-2234;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
216;Analytical and Bioanalytical Chemistry;Springer;Chemistry;https://springer.com/216;1618-2642;1618-2650;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
217;European Food Research and Technology;Springer;Chemistry;https://springer.com/217;1438-2377;1438-2385;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
220;Communications in Mathematical Engineering;Springer;Engineering;https://springer.com/220;0010-3616;1432-0916;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
221;Experimental Brain Research;Springer;Biomedicine;https://springer.com/221;0014-4819;1432-1106;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
222;Inventiones Mathematicae;Springer;Mathematics;https://springer.com/222;0020-9910;1432-1297;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
223;Calcified Tissue International;Springer;Life Sciences;https://springer.com/223;0171-967X;1432-0827;Open Choice;;;;;CC BY;standard (Oasis);ISSN change, Change of Hybrid Specific Workflow;2020;;;2022-01-03
224;Theory of Computing Systems;Springer;Computer Science;https://springer.com/224;1432-4350;1433-0490;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
226;Wood Science and Technology;Springer;Life Sciences;https://springer.com/226;0043-7719;1432-5225;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
227;Marine Biology;Springer;Life Sciences;https://springer.com/227;0025-3162;1432-1793;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
228;European Journal of Clinical Pharmacology;Springer;Biomedicine;https://springer.com/228;0031-6970;1432-1041;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
229;manuscripta mathematica;Springer;Mathematics;https://springer.com/229;0025-2611;1432-1785;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
231;Heat and Mass Transfer;Springer;Engineering;https://springer.com/231;0947-7411;1432-1181;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
232;The Journal of Membrane Biology;Springer;Life Sciences;https://springer.com/232;0022-2631;1432-1424;Open Choice;;;;;CC BY;standard (Oasis);ISSN change, Change of Hybrid Specific Workflow;2020;;;2022-01-03
233;Semigroup Forum;Springer;Mathematics;https://springer.com/233;0037-1912;1432-2137;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
234;Neuroradiology;Springer;Medicine & Public Health;https://springer.com/234;0028-3940;1432-1920;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
236;Acta Informatica;Springer;Computer Science;https://springer.com/236;0001-5903;1432-0525;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
238;European Journal of Plastic Surgery;Springer;Medicine & Public Health;https://springer.com/238;0930-343X;1435-0130;Open Choice;;;;;CC BY;standard (Oasis);ISSN change, Change of Hybrid Specific Workflow;2020;;;2022-01-03
239;Journal of Molecular Evolution;Springer;Life Sciences;https://springer.com/239;0022-2844;1432-1432;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
240;Urolithiasis;Springer;Medicine & Public Health;https://springer.com/240;2194-7228;2194-7236;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Print subscription no longer available.;;2022-01-03
244;Archives of Environmental Contamination and Toxicology;Springer;Environment;https://springer.com/244;0090-4341;1432-0703;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
245;Applied Mathematics & Optimization;Springer;Mathematics;https://springer.com/245;0095-4616;1432-0606;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
246;Pediatric Cardiology;Springer;Medicine & Public Health;https://springer.com/246;0172-0643;1432-1971;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
247;Pediatric Radiology;Springer;Medicine & Public Health;https://springer.com/247;0301-0449;1432-1998;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Print subscription no longer available.;;2022-11-02
248;Microbial Ecology;Springer;Life Sciences;https://springer.com/248;0095-3628;1432-184X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
249;European Biophysics Journal;Springer;Life Sciences;https://springer.com/249;0175-7571;1432-1017;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
251;Immunogenetics;Springer;Biomedicine;https://springer.com/251;0093-7711;1432-1211;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
253;Applied Microbiology and Biotechnology;Springer;Life Sciences;https://springer.com/253;0175-7598;1432-0614;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
