SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;DEAL active from;Facharzt-zeitschriften;APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
32;Milan Journal of Mathematics;Birkh�user;Mathematics;https://springer.com/32;1424-9286;1424-9294;Open Choice;January 2020;;;;CC BY;standard;;;;;
33;Zeitschrift f�r Angewandte Mathematik und Physik;Birkh�user;Engineering;https://springer.com/33;0044-2275;1420-9039;Open Choice;January 2020;;;;CC BY;standard;;;;;
34;Circuits, Systems, and Signal Processing;Birkh�user;Engineering;https://springer.com/34;0278-081X;1531-5878;Open Choice;January 2020;;;;CC BY;standard;;;;;
35;Alpine Botany;Springer;Life Sciences;https://springer.com/35;1664-2201;1664-221X;Open Choice;January 2020;;;;CC BY;standard;;;;;
37;Computational Complexity;Birkh�user;Computer Science;https://springer.com/37;1016-3328;1420-8954;Open Choice;January 2020;;;;CC BY;standard;;;;;
38;International Journal of Public Health;Springer;Medicine & Public Health;https://springer.com/38;1661-8556;1661-8564;Open Choice;January 2020;;;;CC BY;standard;;;;;
39;Geometric and Functional Analysis;Birkh�user;Mathematics;https://springer.com/39;1016-443X;1420-8970;Open Choice;January 2020;;;;CC BY;standard;;;;;
40;Insectes Sociaux;Springer;Life Sciences;https://springer.com/40;0020-1812;1420-9098;Open Choice;January 2020;;;;CC BY;standard;;;;;
41;Journal of Fourier Analysis and Applications;Birkh�user;Mathematics;https://springer.com/41;1069-5869;1531-5851;Open Choice;January 2020;;;;CC BY;standard;;;;;
44;Medicinal Chemistry Research;Springer;Biomedicine;https://springer.com/44;1054-2523;1554-8120;Open Choice;January 2020;;;;CC BY;standard;;;;;
48;NTM Zeitschrift f�r Geschichte der Wissenschaften, Technik und Medizin;Birkh�user;History;https://springer.com/48;0036-6978;1420-9144;Open Choice;January 2020;;;;CC BY;standard;;;;;
49;Chemoecology;Springer;Life Sciences;https://springer.com/49;;1423-0445;Open Choice;January 2020;;;;CC BY;standard;;;;;
52;Chinesische Medizin / Chinese Medicine;SpringerMedizin;Medicine & Public Health;https://springer.com/52;0930-2786;2196-5668;Subscription-only;January 2020;;;;;;;;Journal Title updated;;2020-04-09
53;coloproctology;SpringerMedizin;Medicine & Public Health;https://springer.com/53;0174-2442;1615-6730;Open Choice;January 2020;yes;;;CC BY;standard;;;Journal Title updated;;2020-03-31
56;Journal of Orofacial Orthopedics / Fortschritte der Kieferorthop�die;SpringerMedizin;Dentistry;https://springer.com/56;1434-5293;1615-6714;Open Choice;January 2020;yes;;;CC BY;standard;;;Journal Title updated;;2020-03-31
58;Heilberufe;SpringerMedizin;Medicine & Public Health;https://springer.com/58;0017-9604;1867-1535;Subscription-only;January 2020;;;;;;;;;;
59;Herz;SpringerMedizin;Medicine & Public Health;https://springer.com/59;0340-9937;1615-6692;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
60;HNO Nachrichten;SpringerMedizin;Medicine & Public Health;https://springer.com/60;0177-1000;2198-6533;Subscription-only;January 2020;;;;;;;;;;
62;Clinical Neuroradiology;Springer;Medicine & Public Health;https://springer.com/62;1869-1439;1869-1447;Open Choice;January 2020;;;;CC BY;standard;;;APC updated;;2019-11-14
63;Medizinische Klinik - Intensivmedizin und Notfallmedizin;SpringerMedizin;Medicine & Public Health;https://springer.com/63;2193-6218;2193-6226;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
64;Operative Orthop�die und Traumatologie;SpringerMedizin;Medicine & Public Health;https://springer.com/64;0934-6694;1439-0981;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
66;Strahlentherapie und Onkologie;Springer;Medicine & Public Health;https://springer.com/66;0179-7158;1439-099X;Open Choice;January 2020;;;;CC BY;standard;;;APC updated;;2019-11-14
68;European Journal of Trauma and Emergency Surgery;Springer;Medicine & Public Health;https://springer.com/68;1863-9933;1863-9941;Open Choice;January 2020;;;;CC BY;standard;;;APC updated;;2019-11-14
92;Uro-News;SpringerMedizin;Medicine & Public Health;https://springer.com/92;1432-9026;2196-5676;Subscription-only;January 2020;;;;;;;;;;
101;Der Anaesthesist;SpringerMedizin;Medicine & Public Health;https://springer.com/101;0003-2417;1432-055X;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
103;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;Springer;Medicine & Public Health;https://springer.com/103;1436-9990;1437-1588;Open Choice;January 2020;;;;CC BY;standard;;;;;
104;Der Chirurg;SpringerMedizin;Medicine & Public Health;https://springer.com/104;0009-4722;1433-0385;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
105;Der Hautarzt;SpringerMedizin;Medicine & Public Health;https://springer.com/105;0017-8470;1432-1173;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
106;HNO;SpringerMedizin;Medicine & Public Health;https://springer.com/106;0017-6192;1433-0458;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
107;European Journal of Wood and Wood Products;Springer;Life Sciences;https://springer.com/107;0018-3768;1436-736X;Open Choice;January 2020;;;;CC BY;standard;;;;;
108;Der Internist;SpringerMedizin;Medicine & Public Health;https://springer.com/108;0020-9554;1432-1289;Open Choice;January 2020;yes;;;CC BY;standard;ISSN Change;2020;pISSN updated;;2020-03-31
109;Journal of Molecular Medicine;Springer;Biomedicine;https://springer.com/109;0946-2716;1432-1440;Open Choice;January 2020;;;;CC BY;standard;;;;;
112;Monatsschrift Kinderheilkunde;SpringerMedizin;Medicine & Public Health;https://springer.com/112;0026-9298;1433-0474;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
113;Der Unfallchirurg;SpringerMedizin;Medicine & Public Health;https://springer.com/113;0177-5537;1433-044X;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
114;The Science of Nature;Springer;Life Sciences;https://springer.com/114;0028-1042;1432-1904;Open Choice;January 2020;;;;CC BY;standard;;;;;
115;Der Nervenarzt;SpringerMedizin;Medicine & Public Health;https://springer.com/115;0028-2804;1433-0407;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
117;Der Radiologe;SpringerMedizin;Medicine & Public Health;https://springer.com/117;0033-832X;1432-2102;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
120;Der Urologe;SpringerMedizin;Medicine & Public Health;https://springer.com/120;0340-2592;1433-0563;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
122;Theoretical and Applied Genetics;Springer;Life Sciences;https://springer.com/122;0040-5752;1432-2242;Open Choice;January 2020;;;;CC BY;standard;;;;;
125;Diabetologia;Springer;Medicine & Public Health;https://springer.com/125;0012-186X;1432-0428;Open Choice;January 2020;;;;CC BY;standard;;;;;
126;Mineralium Deposita;Springer;Earth Sciences;https://springer.com/126;0026-4598;1432-1866;Open Choice;January 2020;;;;CC BY;standard;;;;;
127;Social Psychiatry and Psychiatric Epidemiology;Springer;Medicine & Public Health;https://springer.com/127;0933-7954;1433-9285;Open Choice;January 2020;;;;CC BY;standard;;;APC updated;;2019-11-14
128;Bulletin of Environmental Contamination and Toxicology;Springer;Environment;https://springer.com/128;0007-4861;1432-0800;Open Choice;January 2020;;;;CC BY;standard;;;;;
129;Der Gyn�kologe;SpringerMedizin;Medicine & Public Health;https://springer.com/129;0017-5994;1433-0393;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
132;Der Orthop�de;SpringerMedizin;Medicine & Public Health;https://springer.com/132;0085-4530;1433-0431;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
134;Intensive Care Medicine;Springer;Medicine & Public Health;https://springer.com/134;0342-4642;1432-1238;Open Choice;January 2020;;;;CC BY-NC;standard;;;;;
138;Machine Vision and Applications;Springer;Computer Science;https://springer.com/138;0932-8092;1432-1769;Open Choice;January 2020;;;;CC BY;standard;;;;;
142;Arthroskopie;SpringerMedizin;Medicine & Public Health;https://springer.com/142;0933-7946;1434-3924;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
145;Journal of Cryptology;Springer;Computer Science;https://springer.com/145;0933-2790;1432-1378;Open Choice;January 2020;;;;CC BY;standard;;;;;
146;AI & SOCIETY;Springer;Computer Science;https://springer.com/146;0951-5666;1435-5655;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
148;Journal of Population Economics;Springer;Economics;https://springer.com/148;0933-1433;1432-1475;Open Choice;January 2020;;;;CC BY;standard;;;;;
153;Archive for Mathematical Logic;Springer;Mathematics;https://springer.com/153;0933-5846;1432-0665;Open Choice;January 2020;;;;CC BY;standard;;;;;
158;Structural and Multidisciplinary Optimization;Springer;Engineering;https://springer.com/158;1615-147X;1615-1488;Open Choice;January 2020;;;;CC BY;standard;;;;;
159;The Astronomy and Astrophysics Review;Springer;Physics;https://springer.com/159;0935-4956;1432-0754;Open Choice;January 2020;;;;CC BY;standard;;;;;
161;Continuum Mechanics and Thermodynamics;Springer;Physics;https://springer.com/161;0935-1175;1432-0959;Open Choice;January 2020;;;;CC BY;standard;;;;;
162;Theoretical and Computational Fluid Dynamics;Springer;Engineering;https://springer.com/162;0935-4964;1432-2250;Open Choice;January 2020;;;;CC BY;standard;;;;;
163;Research in Engineering Design;Springer;Engineering;https://springer.com/163;0934-9839;1435-6066;Open Choice;January 2020;;;;CC BY;standard;;;;;
165;Formal Aspects of Computing;Springer;Computer Science;https://springer.com/165;0934-5043;1433-299X;Open Choice;January 2020;;;;CC BY;standard;;;;;
167;Knee Surgery, Sports Traumatology, Arthroscopy;Springer;Medicine & Public Health;https://springer.com/167;0942-2056;1433-7347;Open Choice;January 2020;;;;CC BY;standard;;;;;
168;The Annals of Regional Science;Springer;Economics;https://springer.com/168;0570-1864;1432-0592;Open Choice;January 2020;;;;CC BY;standard;;;;;
170;The International Journal of Advanced Manufacturing Technology;Springer;Engineering;https://springer.com/170;0268-3768;1433-3015;Open Choice;January 2020;;;;CC BY;standard;;;;;
180;Computational Statistics;Springer;Statistics;https://springer.com/180;0943-4062;1613-9658;Open Choice;January 2020;;;;CC BY;standard;;;;;
181;Empirical Economics;Springer;Economics;https://springer.com/181;0377-7332;1435-8921;Open Choice;January 2020;;;;CC BY;standard;;;;;
182;International Journal of Game Theory;Springer;Economics;https://springer.com/182;0020-7276;1432-1270;Open Choice;January 2020;;;;CC BY;standard;;;;;
184;Metrika;Springer;Statistics;https://springer.com/184;0026-1335;1435-926X;Open Choice;January 2020;;;;CC BY;standard;;;;;
186;Mathematical Methods of Operations Research;Springer;Mathematics;https://springer.com/186;1432-2994;1432-5217;Open Choice;January 2020;;;;CC BY;standard;;;;;
187;Journal of Management Control;Springer;Business and Management;https://springer.com/187;2191-4761;2191-477X;Open Choice;January 2020;;;;CC BY;standard;;;;;
190;Journal of Geodesy;Springer;Earth Sciences;https://springer.com/190;0949-7714;1432-1394;Open Choice;January 2020;;;;CC BY;standard;;;;;
191;Journal of Evolutionary Economics;Springer;Economics;https://springer.com/191;0936-9937;1432-1386;Open Choice;January 2020;;;;CC BY;standard;;;;;
192;International Urogynecology Journal;Springer;Medicine & Public Health;https://springer.com/192;0937-3462;1433-3023;Open Choice;January 2020;;;;CC BY;standard;;;;;
193;Shock Waves;Springer;Engineering;https://springer.com/193;0938-1287;1432-2153;Open Choice;January 2020;;;;CC BY;standard;;;;;
194;Rechtsmedizin;SpringerMedizin;Medicine & Public Health;https://springer.com/194;0937-9819;1434-5196;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
198;Osteoporosis International;Springer;Medicine & Public Health;https://springer.com/198;0937-941X;1433-2965;Open Choice;January 2020;;;;CC BY-NC;standard;;;;;
199;Economic Theory;Springer;Economics;https://springer.com/199;0938-2259;1432-0479;Open Choice;January 2020;;;;CC BY;standard;;;;;
200;Applicable Algebra in Engineering, Communication and Computing;Springer;Computer Science;https://springer.com/200;0938-1279;1432-0622;Open Choice;January 2020;;;;CC BY;standard;;;;;
202;Electrical Engineering;Springer;Engineering;https://springer.com/202;0948-7921;1432-0487;Open Choice;January 2020;;;;CC BY;standard;;;;;
203;Archives of Microbiology;Springer;Life Sciences;https://springer.com/203;0302-8933;1432-072X;Open Choice;January 2020;;;;CC BY;standard;;;;;
204;Archives of Toxicology;Springer;Biomedicine;https://springer.com/204;0340-5761;1432-0738;Open Choice;January 2020;;;;CC BY;standard;;;;;
205;Archive for Rational Mechanics and Analysis;Springer;Physics;https://springer.com/205;0003-9527;1432-0673;Open Choice;January 2020;;;;CC BY;standard;;;;;
208;Mathematische Annalen;Springer;Mathematics;https://springer.com/208;0025-5831;1432-1807;Open Choice;January 2020;;;;CC BY;standard;;;;;
209;Mathematische Zeitschrift;Springer;Mathematics;https://springer.com/209;0025-5874;1432-1823;Open Choice;January 2020;;;;CC BY;standard;;;;;
210;Naunyn-Schmiedeberg's Archives of Pharmacology;Springer;Biomedicine;https://springer.com/210;0028-1298;1432-1912;Open Choice;January 2020;;;;CC BY;standard;;;;;
211;Numerische Mathematik;Springer;Mathematics;https://springer.com/211;0029-599X;0945-3245;Open Choice;January 2020;;;;CC BY;standard;;;;;
213;Psychopharmacology;Springer;Biomedicine;https://springer.com/213;0033-3158;1432-2072;Open Choice;January 2020;;;;CC BY;standard;;;;;
214;Theoretical Chemistry Accounts;Springer;Chemistry;https://springer.com/214;1432-881X;1432-2234;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
216;Analytical and Bioanalytical Chemistry;Springer;Chemistry;https://springer.com/216;1618-2642;1618-2650;Open Choice;January 2020;;;;CC BY;standard;;;;;
217;European Food Research and Technology;Springer;Chemistry;https://springer.com/217;1438-2377;1438-2385;Open Choice;January 2020;;;;CC BY;standard;;;;;
220;Communications in Mathematical Physics;Springer;Physics;https://springer.com/220;0010-3616;1432-0916;Open Choice;January 2020;;;;CC BY;standard;;;;;
221;Experimental Brain Research;Springer;Biomedicine;https://springer.com/221;0014-4819;1432-1106;Open Choice;January 2020;;;;CC BY;standard;;;;;
222;Inventiones Mathematicae;Springer;Mathematics;https://springer.com/222;0020-9910;1432-1297;Open Choice;January 2020;;;;CC BY;standard;;;;;
223;Calcified Tissue International;Springer;Life Sciences;https://springer.com/223;;1432-0827;Open Choice;January 2020;;;;CC BY;standard;;;;;
224;Theory of Computing Systems;Springer;Computer Science;https://springer.com/224;1432-4350;1433-0490;Open Choice;January 2020;;;;CC BY;standard;;;;;
226;Wood Science and Technology;Springer;Life Sciences;https://springer.com/226;0043-7719;1432-5225;Open Choice;January 2020;;;;CC BY;standard;;;;;
227;Marine Biology;Springer;Life Sciences;https://springer.com/227;0025-3162;1432-1793;Open Choice;January 2020;;;;CC BY;standard;;;;;
228;European Journal of Clinical Pharmacology;Springer;Biomedicine;https://springer.com/228;0031-6970;1432-1041;Open Choice;January 2020;;;;CC BY;standard;;;;;
229;manuscripta mathematica;Springer;Mathematics;https://springer.com/229;0025-2611;1432-1785;Open Choice;January 2020;;;;CC BY;standard;;;;;
231;Heat and Mass Transfer;Springer;Engineering;https://springer.com/231;0947-7411;1432-1181;Open Choice;January 2020;;;;CC BY;standard;;;;;
232;The Journal of Membrane Biology;Springer;Life Sciences;https://springer.com/232;;1432-1424;Open Choice;January 2020;;;;CC BY;standard;;;;;
233;Semigroup Forum;Springer;Mathematics;https://springer.com/233;0037-1912;1432-2137;Open Choice;January 2020;;;;CC BY;standard;;;;;
234;Neuroradiology;Springer;Medicine & Public Health;https://springer.com/234;0028-3940;1432-1920;Open Choice;January 2020;;;;CC BY;standard;;;;;
236;Acta Informatica;Springer;Computer Science;https://springer.com/236;0001-5903;1432-0525;Open Choice;January 2020;;;;CC BY;standard;;;;;
238;European Journal of Plastic Surgery;Springer;Medicine & Public Health;https://springer.com/238;;1435-0130;Open Choice;January 2020;;;;CC BY;standard;;;;;
239;Journal of Molecular Evolution;Springer;Life Sciences;https://springer.com/239;0022-2844;1432-1432;Open Choice;January 2020;;;;CC BY;standard;;;;;
240;Urolithiasis;Springer;Medicine & Public Health;https://springer.com/240;2194-7228;2194-7236;Open Choice;January 2020;;;;CC BY;standard;;;;;
244;Archives of Environmental Contamination and Toxicology;Springer;Environment;https://springer.com/244;0090-4341;1432-0703;Open Choice;January 2020;;;;CC BY;standard;;;;;
245;Applied Mathematics & Optimization;Springer;Mathematics;https://springer.com/245;0095-4616;1432-0606;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
246;Pediatric Cardiology;Springer;Medicine & Public Health;https://springer.com/246;0172-0643;1432-1971;Open Choice;January 2020;;;;CC BY;standard;;;;;
247;Pediatric Radiology;Springer;Medicine & Public Health;https://springer.com/247;0301-0449;1432-1998;Open Choice;January 2020;;;;CC BY;standard;;;;;
248;Microbial Ecology;Springer;Life Sciences;https://springer.com/248;0095-3628;1432-184X;Open Choice;January 2020;;;;CC BY;standard;;;;;
249;European Biophysics Journal;Springer;Life Sciences;https://springer.com/249;0175-7571;1432-1017;Open Choice;January 2020;;;;CC BY;standard;;;;;
251;Immunogenetics;Springer;Biomedicine;https://springer.com/251;0093-7711;1432-1211;Open Choice;January 2020;;;;CC BY;standard;;;;;
253;Applied Microbiology and Biotechnology;Springer;Life Sciences;https://springer.com/253;0175-7598;1432-0614;Open Choice;January 2020;;;;CC BY;standard;;;;;
256;Skeletal Radiology;Springer;Medicine & Public Health;https://springer.com/256;0364-2348;1432-2161;Open Choice;January 2020;;;;CC BY;standard;;;;;
259;European Journal of Nuclear Medicine and Molecular Imaging;Springer;Medicine & Public Health;https://springer.com/259;1619-7070;1619-7089;Open Choice;January 2020;;;;CC BY;standard;;;;;
261;Abdominal Radiology;Springer;Medicine & Public Health;https://springer.com/261;;2366-0058;Open Choice;January 2020;;;;CC BY;standard;;;;;
262;Cancer Immunology, Immunotherapy;Springer;Medicine & Public Health;https://springer.com/262;;1432-0851;Open Choice;January 2020;;;;CC BY;standard;;;;;
264;International Orthopaedics;Springer;Medicine & Public Health;https://springer.com/264;0341-2695;1432-5195;Open Choice;January 2020;;;;CC BY;standard;;;;;
265;Behavioral Ecology and Sociobiology;Springer;Life Sciences;https://springer.com/265;0340-5443;1432-0762;Open Choice;January 2020;;;;CC BY;standard;;;;;
266;Aesthetic Plastic Surgery;Springer;Medicine & Public Health;https://springer.com/266;0364-216X;1432-5241;Open Choice;January 2020;;;;CC BY;standard;;;;;
267;Environmental Management;Springer;Environment;https://springer.com/267;0364-152X;1432-1009;Open Choice;January 2020;;;;CC BY;standard;;;;;
268;World Journal of Surgery;Springer;Medicine & Public Health;https://springer.com/268;0364-2313;1432-2323;Open Choice;January 2020;;;;CC BY;standard;;;;;
269;Physics and Chemistry of Minerals;Springer;Earth Sciences;https://springer.com/269;0342-1791;1432-2021;Open Choice;January 2020;;;;CC BY;standard;;;;;
270;CardioVascular and Interventional Radiology;Springer;Medicine & Public Health;https://springer.com/270;0174-1551;1432-086X;Open Choice;January 2020;;;;CC BY;standard;;;;;
271;Irrigation Science;Springer;Life Sciences;https://springer.com/271;0342-7188;1432-1319;Open Choice;January 2020;;;;CC BY;standard;;;;;
276;Surgical and Radiologic Anatomy;Springer;Medicine & Public Health;https://springer.com/276;;1279-8517;Open Choice;January 2020;;;;CC BY;standard;;;;;
277;Annals of Hematology;Springer;Medicine & Public Health;https://springer.com/277;0939-5555;1432-0584;Open Choice;January 2020;;;;CC BY;standard;;;;;
278;Psychotherapeut;SpringerMedizin;Medicine & Public Health;https://springer.com/278;0935-6185;1432-2080;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
280;Cancer Chemotherapy and Pharmacology;Springer;Medicine & Public Health;https://springer.com/280;;1432-0843;Open Choice;January 2020;;;;CC BY;standard;;;;;
281;Seminars in Immunopathology;Springer;Biomedicine;https://springer.com/281;1863-2297;1863-2300;Open Choice;January 2020;;;;CC BY;standard;;;;;
283;The Mathematical Intelligencer;Springer;Mathematics;https://springer.com/283;0343-6993;1866-7414;Open Choice;January 2020;;;;CC BY;standard;;;;;
284;Current Microbiology;Springer;Life Sciences;https://springer.com/284;0343-8651;1432-0991;Open Choice;January 2020;;;;CC BY;standard;;;;;
285;Journal of Mathematical Biology;Springer;Mathematics;https://springer.com/285;0303-6812;1432-1416;Open Choice;January 2020;;;;CC BY;standard;;;;;
287;Informatik Spektrum;Springer;Computer Science;https://springer.com/287;0170-6012;1432-122X;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
289;Polymer Bulletin;Springer;Chemistry;https://springer.com/289;0170-0839;1436-2449;Open Choice;January 2020;;;;CC BY;standard;;;;;
291;OR Spectrum;Springer;Business and Management;https://springer.com/291;0171-6468;1436-6304;Open Choice;January 2020;;;;CC BY;standard;;;;;
292;Der Pathologe;SpringerMedizin;Medicine & Public Health;https://springer.com/292;0172-8113;1432-1963;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
294;Current Genetics;Springer;Life Sciences;https://springer.com/294;0172-8083;1432-0983;Open Choice;January 2020;;;;CC BY;standard;;;;;
296;Rheumatology International;Springer;Medicine & Public Health;https://springer.com/296;;1437-160X;Open Choice;January 2020;;;;CC BY;standard;;;;;
299;Plant Cell Reports;Springer;Life Sciences;https://springer.com/299;0721-7714;1432-203X;Open Choice;January 2020;;;;CC BY;standard;;;;;
300;Polar Biology;Springer;Life Sciences;https://springer.com/300;0722-4060;1432-2056;Open Choice;January 2020;;;;CC BY;standard;;;;;
330;European Radiology;Springer;Medicine & Public Health;https://springer.com/330;0938-7994;1432-1084;Open Choice;January 2020;;;;CC BY;standard;;;;;
332;Journal of Nonlinear Science;Springer;Mathematics;https://springer.com/332;0938-8974;1432-1467;Open Choice;January 2020;;;;CC BY;standard;;;;;
334;Vegetation History and Archaeobotany;Springer;Earth Sciences;https://springer.com/334;0939-6314;1617-6278;Open Choice;January 2020;;;;CC BY;standard;;;;;
335;Mammalian Genome;Springer;Life Sciences;https://springer.com/335;0938-8990;1432-1777;Open Choice;January 2020;;;;CC BY;standard;;;;;
337;Manuelle Medizin;SpringerMedizin;Medicine & Public Health;https://springer.com/337;0025-2514;1433-0466;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
338;Coral Reefs;Springer;Life Sciences;https://springer.com/338;0722-4028;1432-0975;Open Choice;January 2020;;;;CC BY;standard;;;;;
339;Applied Physics A;Springer;Physics;https://springer.com/339;0947-8396;1432-0630;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
340;Applied Physics B;Springer;Physics;https://springer.com/340;0946-2171;1432-0649;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
343;Journal of Oceanology and Limnology;Science Press, co-published with Springer;Earth Sciences;https://springer.com/343;2096-5508;2523-3521;Open Choice;January 2020;;;;CC BY;non-standard;;;;;
344;Journal of Plant Growth Regulation;Springer;Life Sciences;https://springer.com/344;0721-7595;1435-8107;Open Choice;January 2020;;;;CC BY;standard;;;;;
345;World Journal of Urology;Springer;Medicine & Public Health;https://springer.com/345;0724-4983;1433-8726;Open Choice;January 2020;;;;CC BY;standard;;;;;
347;Der Ophthalmologe;SpringerMedizin;Medicine & Public Health;https://springer.com/347;0941-293X;1433-0423;Open Choice;January 2020;yes;;;CC BY;standard;;;;;
348;Experiments in Fluids;Springer;Engineering;https://springer.com/348;0723-4864;1432-1114;Open Choice;January 2020;;;;CC BY;standard;;;;;
350;Medizinrecht;Springer;Law;https://springer.com/350;0723-8886;1433-8629;Subscription-only;January 2020;;;;;;Change of Publishing Model;2020;Changes from Hybrid (Open Choice) to Subscription only, Journal Title updated;;2020-04-09
354;New Generation Computing;Ohmsha, co-published with Springer;Computer Science;https://springer.com/354;0288-3635;1882-7055;Open Choice;January 2020;;;;CC BY;standard;;;;;
