Status;Revenue Model;Ownership;Society;EUR APC;License Type Offered;General Subject Category
P-Current publication;OA;O-Proprietary Owned;Wiley;4163;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley VCH;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;John Wiley and Sons;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Society for Academic Emergency Medicine;;CC-BY mandate only;Medicine
P-Current publication;SUBS;O-Proprietary Owned;Blackwell;;CTA;Social & Behavioral Sciences
P-Current publication;SUBS;O-Proprietary Owned;Blackwell;;CTA;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;African Development Bank;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OA;J-Joint Owned;Blackwell/Anatomical Society;2327;CC-BY only;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley and Beijing Hospital;1835;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Royal Entomological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;International Association of Agricultural Economists;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;American Geophysical Union;1693;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Institute of Chemical Engineers (AIChE);;CC-BY mandate only;Chemistry
P-Current publication;OO;N-Society Owned;Research Society on Alcoholism;;CC-BY mandate only;Nursing, Dentistry & Healthcare
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;J-Joint Owned;Wiley and European Academy of Allergy and Clinical Immunology;;CC-BY to all;Medicine
P-Current publication;SUBS;N-Society Owned;International Institute for Conflict Prevention & Resolution;;CTA;Law & Criminology
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Academy of Legal Studies in Business;;CC-BY mandate only;Law & Criminology
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Botanical Society of America;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Society for Community Research and Action;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;Editorial Board;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Midwest Political Science Association;;CC-BY mandate only;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;American Society of Transplant Surgeons;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Association of Anaesthetists;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Association of Anaesthetists;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Society for the Psychological Study of Social Issues;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2200;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Association for Anatomy;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;American Society of Andrology and European Academy of Andrology;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;GDCh  Gesellschaft Deutscher Chemiker;;CC-BY mandate only;Chemistry
P-Current publication;OO;N-Society Owned;GDCh  Gesellschaft Deutscher Chemiker;;CC-BY mandate only;Chemistry
P-Current publication;OO;N-Society Owned;Zoological Society of London;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;International Society for Animal Genetics;;CC-BY to all;Life Sciences
P-Current publication;OA;N-Society Owned;The Chinese Association for Laboratory Animal Sciences;Covered by 3rd Party;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Japanese Society of Animal Science;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Association of Applied Biologists;;CC-BY to all;Life Sciences
P-Current publication;OA;N-Society Owned;American Neurological Association;2190;CC-BY mandate only;Medicine
P-Current publication;OA;N-Society Owned;The Japanese Society of Gastroenterological Surgery;1669;CC-BY to all;Medicine
P-Current publication;OO;J-Joint Owned;Wiley/University College London;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Neurological Association;;CC-BY mandate only;Medicine
P-Current publication;OA;O-Proprietary Owned;Blackwell;1950;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Edgard Milhaud Foundation;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;New York Academy of Sciences;;CC-BY mandate only;Life Sciences
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Society;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Royal Anthropological Institute;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Editorial Board;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Royal Australasian College of Surgeons;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Association of periOperative Registered Nurses;;CC-BY mandate only;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Scandinavian Societies for Medical Microbiology and Pathology;;CC-BY to all;Medicine
P-Current publication;OA;N-Society Owned;Botanical Society of America;1285;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;International Association of Applied Psychology;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;International Association of Applied Psychology;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Society;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Oceania Publications;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;University of Oxford;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Architecture & Planning
P-Current publication;OO;N-Society Owned;Deutsche Pharmazeutische Gesellschaft;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Royal Geographical Society (with the Institute of British Geographers);;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Association for Art History;;CC-BY mandate only;Art & Applied Arts
P-Current publication;OO;N-Society Owned;Society;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;American College of Rheumatology;;CC-BY mandate only;Medicine
P-Current publication;OO;J-Joint Owned;International Federation for Artificial Organs (IFAO) and Wiley Periodicals, Inc.;;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OA;J-Joint Owned;Wiley & Crawford School of Public Policy of the Australian National University;Covered by 3rd Party;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Australian Human Resources Institute (AHRI);;CC-BY mandate only;Business, Economics, Finance & Accounting
P-Current publication;OO;J-Joint Owned;Blackwell/Victoria University of Wellington;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Blackwell/East Asian Economic Association;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Japan Center for Economic Research;;CC-BY mandate only;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Chinese Automatic Control Society;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;J-Joint Owned;Asia Endosurgery Task Force (AETF, 30%), Japan Society for Endoscopic Surgery (JSES 30%), and Wiley Blackwell (40%);;CC-BY to all;Medicine
P-Current publication;OO;J-Joint Owned;Wiley-VCH, Asian Chemical Editorial Society;;CC-BY mandate only;Chemistry
P-Current publication;OO;J-Joint Owned;Blackwell/Asian Association of Social Psychology;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;Policy Studies Organization;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Australian National University/Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;J-Joint Owned;Wiley / Curtin University;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Wiley & Korean Securities Association;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;Society;1450;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Ecological Society of Australia;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Australian Entomological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Australasian College of Dermatologists;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Australasian Society for Ultrasound in Medicine;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;AJA Inc.;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Statistical Society of Australia;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;CPA Australia;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Australian Association of Family Therapy;;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;Royal Australian and New Zealand College of Obstetricians and Gynaecologists;;CC-BY to all;Medicine
P-Current publication;OA;N-Society Owned;Public Health Association of Australia;Covered by 3rd Party;CC-BY mandate only;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Australian Dental Association;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;J-Joint Owned;Wiley & Economic History Society of Australia and New Zealand;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;John Wiley & Sons Australia Ltd;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Australian Society of Endodontology Inc;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Australasian Agricultural and Resource Economics Society;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Australian Society of Viticulture and Oenology Inc;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;J-Joint Owned;The University of Queensland and John Wiley & Sons Australia;;CC-BY to all;Social & Behavioral Sciences
R-To be sold/Transfrd;OO;N-Society Owned;Australian Psychology Society;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;National Council of the Institute of Public Administration Australia;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;National Rural Health Alliance;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Australian Social Policy Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Occupational Therapy Australia;;CC-BY to all;Nursing, Dentistry & Healthcare
R-To be sold/Transfrd;OO;N-Society Owned;Australian Psychological Society;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;Australian Veterinary Association;;CC-BY to all;Veterinary Medicine
P-Current publication;OO;J-Joint Owned;Wiley and INSAR;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;American Water Works Associations;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Nordic Pharmacological Societies;;CC-BY mandate only;Medicine
P-Current publication;OO;J-Joint Owned;John Wiley & Sons Ltd, European Association of Geoscientists & Engineers and International Association of Sedimentologists;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;J-Joint Owned;Wiley-VCH, Chemistry Europe;;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;SUBS;O-Proprietary Owned;Ernst & Sohn;;CTA;Physical Sciences & Engineering
P-Current publication;SUBS;O-Proprietary Owned;Ernst & Sohn;;CTA;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Chemistry
P-Current publication;SUBS;O-Proprietary Owned;Ernst & Sohn;;CTA;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;International Union of Biochemistry and Molecular Biology;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Bioelectromagnetics Society;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;American Institute of Chemical Engineers (AIChE);1444;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;International Union of Biochemistry and Molecular Biology;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Wiley & Society of Chemical Industry;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Cambridge Philosophical Society;;CC-BY to all;Life Sciences
R-To be sold/Transfrd;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Soci�t� Fran�aise des Microscopies and Soci�t� Biologie Cellulaire de France;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;International Biometric Society;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;International Union of Biochemistry and Molecular Biology;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Institute of Chemical Engineers (AIChE);;CC-BY mandate only;Life Sciences
P-Current publication;OO;N-Society Owned;Association for Tropical Biology and Conservation;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY mandate only;Medicine
P-Current publication;OA;N-Society Owned;British Journal of Surgery Society;1984;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;BJU International;;CC-BY mandate only;Medicine
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Collegium Boreas;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2052;CC-BY only;Medicine
P-Current publication;OO;N-Society Owned;International Society of Neuropathology;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;British Educational Research Association (BERA);;CC-BY mandate only;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;British Pharmacological Society;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;British Association of Dermatologists;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;British Educational Research Association (BERA);;CC-BY mandate only;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Wiley and British Society for Haematology;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;British Academy of Management;;CC-BY mandate only;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;British Pharmacological Society;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;J-Joint Owned;Blackwell/British Psychotherapy Foundation;;CC-BY to all;Psychology
P-Current publication;SUBS;N-Society Owned;British Institute of Radiology;;CTA;Medicine
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;National Association for Special Educational Needs;;CC-BY to all;Social & Behavioral Sciences
R-To be sold/Transfrd;OO;N-Society Owned;BJS Society Ltd;;CC-BY mandate only;Medicine
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;OO;J-Joint Owned;Blackwell/Trustees of BER;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Society for Latin American Studies;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Wiley-VCH, Korean Chemical Society;;CC-BY mandate only;Chemistry
P-Current publication;OO;N-Society Owned;London Mathematical Society;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;Center for Business Ethics at Bentley College;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;J-Joint Owned;Wiley, European Research Press Ltd;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Wiley & ERP Environment;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;Campbell Collaboration;Covered by 3rd Party;CC-BY only;Social & Behavioral Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Social & Behavioral Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Administrative Sciences Association of Canada;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Canadian Agricultural Economics Society/la Societe canadienne d'agroeconomie;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Canadian Economics Association/Association canadienne d'�conomique;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Institute of Public Administration of Canada;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Canadian Sociological Association/La Soci�t� canadienne de sociologie;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;American Cancer Society;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;American Cancer Society;;CC-BY mandate only;Medicine
P-Current publication;OA;O-Proprietary Owned;Wiley;2076;CC-BY only;Medicine
Accepting Submissions;OA;J-Joint Owned;Wiley and Royal Meteorological Society;2000;CC-BY only;Climatology & Paleoclimatology
P-Current publication;OA;N-Society Owned;Japanese Cancer Association;1650;CC-BY mandate only;Medicine
P-Current publication;OA;J-Joint Owned;Wiley and Wenzhou University;3041;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Ernst & Sohn;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;International Federation for Cell Biology;;CC-BY mandate only;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Blackwell;2200;CC-BY only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;AACC International;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;J-Joint Owned;Wiley-VCH, Chemistry Europe;;CC-BY mandate only;Chemistry
P-Current publication;OO;J-Joint Owned;Wiley-VCH, German Chemical Society;;CC-BY to all;Chemistry
