Status;Revenue Model;Ownership;Owned By;EUR APC;License Type Offered;General Subject Category
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Society;;CC-BY Only;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;Japanese Association for Acute Medicine;2029;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;Society for the Study of Addiction;;CC-BY by mandate only;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Society for the Study of Addiction;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Life Sciences
N-Not Yet Published;OA;N-Society Owned;Higher Education Press Limited Company;TBD;TBD;Health Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2600;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2680;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley;4400;CC-BY only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2700;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley;2600;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2990;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2500;CC-BY only;Physical Sciences & Engineering
N-Not Yet Published;OA;O-Proprietary Owned;Wiley;2050;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley;4790;CC-BY only;Physical Sciences & Engineering
N-Not Yet Published;OA;O-Proprietary Owned;Wiley;2100;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Chemistry
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Medicine
P-Current publication;OA;O-Proprietary Owned;Hindawi;694;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;911;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley/Hindawi;672;CC-BY for all;Medicine
P-Current publication;OA;O-Proprietary Owned;Hindawi;2211;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;1301;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;694;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;1301;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;2211;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;2060;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;694;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;1301;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;911;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley/Hindawi;1735;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;694;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Life Sciences
P-Current publication;HOA;N-Society Owned;Society for Academic Emergency Medicine;;CC-BY for all;Medicine
P-Current publication;SUBS;O-Proprietary Owned;Blackwell;;CTA;Social & Behavioral Sciences
P-Current publication;SUBS;O-Proprietary Owned;Blackwell;;CTA;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;African Development Bank;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley, AIE Institute and South China University of Technology;Currently Waived;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Psychology
P-Current publication;OA;O-Proprietary Owned;Wiley;2810;CC-BY for all;Medicine
P-Current publication;OA;J-Joint Owned;Blackwell/Anatomical Society;2560;CC-BY only;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley and Beijing Hospital;1835;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;American Society of Agronomy , Crop Science of America, Soil Science Society of America;1390;CC-BY exceptions;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;N-Society Owned;Royal Entomological Society;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;International Association of Agricultural Economists;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;N-Society Owned;American Society of Agronomy;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;American Society of Agronomy, Crop Science Society of America;1480;CC-BY exceptions;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;American Geophysical Union;2310;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;OA;N-Society Owned;Association for the Advancement of Artificial Intelligence (AAAI);2150;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;American Institute of Chemical Engineers (AIChE);;CC-BY for all;Chemistry
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Nursing, Dentistry & Healthcare
P-Current publication;HOA;N-Society Owned;Research Society on Alcoholism;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY by mandate only;Medicine
P-Current publication;HOA;J-Joint Owned;Wiley and European Academy of Allergy and Clinical Immunology;;CC-BY by mandate only;Medicine
P-Current publication;SUBS;N-Society Owned;International Institute for Conflict Prevention & Resolution;;CTA;Law & Criminology
P-Current publication;HOA;N-Society Owned;The Alzheimer's Association;;CC-BY by mandate only;Medicine
P-Current publication;OA;N-Society Owned;Alzheimer's Association;1890;CC-BY by mandate only;Medicine
P-Current publication;OA;N-Society Owned;Alzheimer's Association;1890;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Academy of Legal Studies in Business;;CC-BY for all;Law & Criminology
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Agricultural and Applied Economics Association;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Botanical Society of America;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Society for Community Research and Action;;CC-BY for all;Psychology
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Midwest Political Science Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Association of Anaesthetists;;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;Association of Anaesthetists;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Society for the Psychological Study of Social Issues;;CC-BY for all;Psychology
P-Current publication;HOA;J-Joint Owned;Wiley-VCH and Chemistry Europe;;CC-BY by mandate only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Humanities
P-Current publication;OA;O-Proprietary Owned;Hindawi;1735;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2420;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;American Association for Anatomy;;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Blackwell/Hindawi;2168;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;American Society of Andrology and European Academy of Andrology;;CC-BY for all;Medicine
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;HOA;N-Society Owned;GDCh  Gesellschaft Deutscher Chemiker;;CC-BY by mandate only;Chemistry
P-Current publication;HOA;N-Society Owned;GDCh  Gesellschaft Deutscher Chemiker;;CC-BY for all;Chemistry
P-Current publication;HOA;N-Society Owned;Zoological Society of London;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;International Society for Animal Genetics;;CC-BY for all;Life Sciences
P-Current publication;OA;N-Society Owned;The Chinese Association for Laboratory Animal Sciences;1835;CC-BY for all;Medicine
Accepting Submissions;OA;N-Society Owned;Institute of Animal Sciences, Chinese Academy of Agricultural Sciences;2600;CC-BY only;Life Sciences
P-Current publication;HOA;N-Society Owned;Japanese Society of Animal Science;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Association of Applied Biologists;;CC-BY for all;Life Sciences
P-Current publication;OA;N-Society Owned;American Neurological Association;2810;CC-BY exceptions;Medicine
P-Current publication;OA;N-Society Owned;The Japanese Society of Gastroenterological Surgery;1850;CC-BY for all;Medicine
P-Current publication;HOA;J-Joint Owned;Wiley/University College London;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;American Neurological Association;;CC-BY by mandate only;Medicine
P-Current publication;OA;O-Proprietary Owned;Blackwell;2860;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Edgard Milhaud Foundation;;CC-BY for all;Business, Economics, Finance & Accounting
N-Not Yet Published;OA;N-Society Owned;Child Neurology Society;2550;CC-BY by mandate only;Health Sciences
P-Current publication;HOA;N-Society Owned;New York Academy of Sciences;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Society;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Royal Anthropological Institute;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Editorial Board;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Royal Australasian College of Surgeons;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Association of periOperative Registered Nurses;;CC-BY by mandate only;Nursing, Dentistry & Healthcare
P-Current publication;HOA;N-Society Owned;Scandinavian Societies for Medical Microbiology and Pathology;;CC-BY for all;Medicine
P-Current publication;OA;N-Society Owned;Botanical Society of America;1680;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1800;CC-BY Only;Chemistry
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;1474;TBD;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Psychology
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Agricultural and Applied Economics Association;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Chemistry
P-Current publication;HOA;N-Society Owned;International Association of Applied Psychology;;CC-BY for all;Psychology
P-Current publication;HOA;N-Society Owned;International Association of Applied Psychology;;CC-BY for all;Psychology
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Society;;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Blackwell/Hindawi;1886;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;O-Proprietary Owned;Blackwell/Hindawi;2168;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;O-Proprietary Owned;Wiley;1800;CC-BY only ;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;1301;TBD;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;Oceania Publications;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;University of Oxford;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Architecture & Planning
P-Current publication;HOA;N-Society Owned;Deutsche Pharmazeutische Gesellschaft;;CC-BY for all;Chemistry
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Royal Geographical Society (with the Institute of British Geographers);;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Association for Art History;;CC-BY for all;Art & Applied Arts
P-Current publication;HOA;N-Society Owned;Society;;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;American College of Rheumatology;;CC-BY by mandate only;Medicine
P-Current publication;HOA;J-Joint Owned;International Federation for Artificial Organs (IFAO) and Wiley Periodicals, Inc.;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;J-Joint Owned;Wiley & Crawford School of Public Policy of the Australian National University;1400;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Australian Human Resources Institute (AHRI);;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;J-Joint Owned;Blackwell/Victoria University of Wellington;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;J-Joint Owned;Blackwell/East Asian Economic Association;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Japan Center for Economic Research;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Chinese Automatic Control Society;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;J-Joint Owned;Asia Endosurgery Task Force, Japan Society for Endoscopic Surgery and Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;J-Joint Owned;Wiley-VCH, Asian Chemical Editorial Society;;CC-BY for all;Chemistry
P-Current publication;HOA;J-Joint Owned;Blackwell/Asian Association of Social Psychology;;CC-BY for all;Psychology
P-Current publication;HOA;N-Society Owned;Policy Studies Organization;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;J-Joint Owned;Australian National University/Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;J-Joint Owned;Wiley / Curtin University;;CC-BY for all;Chemistry
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;Wiley & Korean Securities Association;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;Society;1820;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;Ecological Society of Australia;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Australian Entomological Society;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Australasian College of Dermatologists;;CC-BY Only;Medicine
P-Current publication;HOA;N-Society Owned;Australasian Society for Ultrasound in Medicine;;CC-BY Only;Medicine
P-Current publication;HOA;N-Society Owned;AJA Inc.;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Statistical Society of Australia;;CC-BY for all;Mathematics & Statistics
P-Current publication;HOA;N-Society Owned;CPA Australia;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Australian Association of Family Therapy;;CC-BY for all;Psychology
P-Current publication;HOA;N-Society Owned;Royal Australian and New Zealand College of Obstetricians and Gynaecologists;N/A;CC-BY Only;Medicine
P-Current publication;HOA;N-Society Owned;Australian Dental Association;;CC-BY Only;Nursing, Dentistry & Healthcare
P-Current publication;HOA;J-Joint Owned;Wiley & Economic History Society of Australia and New Zealand;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Wiley Australia;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Australian Society of Endodontology Inc;;CC-BY Only;Nursing, Dentistry & Healthcare
P-Current publication;HOA;J-Joint Owned;The University of Queensland and John Wiley & Sons Australia;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;National Council of the Institute of Public Administration Australia;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;National Rural Health Alliance;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;N-Society Owned;Australian Social Policy Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Occupational Therapy Australia;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;N-Society Owned;Australian Veterinary Association;;CC-BY for all;Veterinary Medicine
P-Current publication;HOA;J-Joint Owned;Wiley and INSAR;;CC-BY for all;Medicine
P-Current publication;OA;O-Proprietary Owned;Hindawi;694;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Health Sciences
P-Current publication;HOA;N-Society Owned;American Water Works Associations;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;Nordic Pharmacological Societies;;CC-BY by mandate only;Medicine
P-Current publication;HOA;J-Joint Owned;Wiley, European Association of Geoscientists & Engineers and International Association of Sedimentologists;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;J-Joint Owned;Wiley-VCH, Chemistry Europe;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;J-Joint Owned;Wiley and Xijing University;Currently Waived;CC-BY only;Physical Sciences & Engineering
P-Current publication;SUBS;O-Proprietary Owned;Ernst & Sohn;;CTA;Physical Sciences & Engineering
P-Current publication;SUBS;O-Proprietary Owned;Ernst & Sohn;;CTA;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Psychology
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Psychology
P-Current publication;OA;O-Proprietary Owned;Hindawi;1301;TBD;Health Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Chemistry
P-Current publication;SUBS;O-Proprietary Owned;Ernst & Sohn;;CTA;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;International Union of Biochemistry and Molecular Biology;;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;803;TBD;Life Sciences
P-Current publication;HOA;N-Society Owned;Bioelectromagnetics Society;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;American Institute of Chemical Engineers (AIChE);2150;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Humanities
P-Current publication;HOA;N-Society Owned;International Union of Biochemistry and Molecular Biology;;CC-BY for all;Life Sciences
P-Current publication;HOA;J-Joint Owned;Wiley & Society of Chemical Industry;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;1301;TBD;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Cambridge Philosophical Society;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Societe Francaise des Microscopies and Societe Biologie Cellulaire de France;;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;2211;TBD;Health Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Chemistry
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Mathematics & Statistics
P-Current publication;HOA;N-Society Owned;International Biometric Society;;CC-BY for all;Mathematics & Statistics
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Chemistry
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;OA;N-Society Owned;The Institution of Engineering and Technology and Southwest Jiaotong University;2000;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;International Union of Biochemistry and Molecular Biology;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;American Institute of Chemical Engineers (AIChE);;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Association for Tropical Biology and Conservation;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;BJU International;;CC-BY by mandate only;Medicine
P-Current publication;OA;N-Society Owned;BJU International Company;2100;CC-BY Only;Medicine
P-Current publication;OA;N-Society Owned;Shandong University;Currently waived;CC-BY only;Physical Sciences & Engineering
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;OA;N-Society Owned;Collegium Boreas;2570;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2480;CC-BY only;Medicine
P-Current publication;OA;N-Society Owned;International Society of Neuropathology;3520;CC-BY Only;Medicine
P-Current publication;OA;N-Society Owned;Hubei Ainuohui Medical Technology Co., Ltd.;Currently Waived;CC-BY only;Health Sciences
P-Current publication;HOA;N-Society Owned;British Educational Research Association (BERA);;CC-BY for all;Social & Behavioral Sciences
