SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;DEAL active from;Facharzt-zeitschrift;APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
22;Journal of Geometry;Birkh�user;Mathematics;https://link.springer.com/journal/22;0047-2468;1420-8997;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
23;Annales Henri Poincar�;Birkh�user;Physics;https://link.springer.com/journal/23;1424-0637;1424-0661;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
24;Pure and Applied Geophysics;Birkh�user;Earth Sciences;https://link.springer.com/journal/24;0033-4553;1420-9136;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
25;Results in Mathematics;Birkh�user;Mathematics;https://link.springer.com/journal/25;1422-6383;1420-9012;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
26;Annals of Combinatorics;Birkh�user;Mathematics;https://link.springer.com/journal/26;0218-0006;0219-3094;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
27;Aquatic Sciences - Research Across Boundaries;Springer;Life Sciences;https://link.springer.com/journal/27;1015-1621;1420-9055;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
28;Journal of Evolution Equations;Birkh�user;Mathematics;https://link.springer.com/journal/28;1424-3199;1424-3202;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
29;Selecta Mathematica, New Series;Birkh�user;Mathematics;https://link.springer.com/journal/29;1022-1824;1420-9020;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;Standard Hybrid Specific Workflow updated;;2019-11-29
30;Nonlinear Differential Equations and Applications;Birkh�user;Mathematics;https://link.springer.com/journal/30;1021-9722;1420-9004;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
31;Transformation Groups;Birkh�user;Mathematics;https://link.springer.com/journal/31;1083-4362;1531-586X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
32;Milan Journal of Mathematics;Birkh�user;Mathematics;https://link.springer.com/journal/32;1424-9286;1424-9294;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
33;Zeitschrift f�r Angewandte Mathematik und Physik;Birkh�user;Engineering;https://link.springer.com/journal/33;0044-2275;1420-9039;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
34;Circuits, Systems, and Signal Processing;Birkh�user;Engineering;https://link.springer.com/journal/34;0278-081X;1531-5878;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
35;Alpine Botany;Springer;Life Sciences;https://link.springer.com/journal/35;1664-2201;1664-221X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
37;Computational Complexity;Birkh�user;Computer Science;https://link.springer.com/journal/37;1016-3328;1420-8954;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
38;International Journal of Public Health;Springer;Medicine & Public Health;https://link.springer.com/journal/38;1661-8556;1661-8564;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
39;Geometric and Functional Analysis;Birkh�user;Mathematics;https://link.springer.com/journal/39;1016-443X;1420-8970;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
40;Insectes Sociaux;Springer;Life Sciences;https://link.springer.com/journal/40;0020-1812;1420-9098;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
41;Journal of Fourier Analysis and Applications;Birkh�user;Mathematics;https://link.springer.com/journal/41;1069-5869;1531-5851;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
44;Medicinal Chemistry Research;Springer;Biomedicine;https://link.springer.com/journal/44;1054-2523;1554-8120;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
48;NTM Zeitschrift f�r Geschichte der Wissenschaften, Technik und Medizin;Birkh�user;History;https://link.springer.com/journal/48;0036-6978;1420-9144;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
49;Chemoecology;Springer;Life Sciences;https://link.springer.com/journal/49;;1423-0445;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
52;Chinesische Medizin;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/52;0930-2786;2196-5668;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
53;Colo-Proctology;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/53;0174-2442;1615-6730;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
56;Journal of Orofacial Orthopedics;SpringerMedizin;Dentistry;https://link.springer.com/journal/56;1434-5293;1615-6714;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
58;Heilberufe;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/58;0017-9604;1867-1535;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
59;Herz;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/59;0340-9937;1615-6692;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
60;HNO Nachrichten;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/60;0177-1000;2198-6533;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
62;Clinical Neuroradiology;Springer;Medicine & Public Health;https://link.springer.com/journal/62;1869-1439;1869-1447;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;APC updated;;2019-11-14
63;Medizinische Klinik - Intensivmedizin und Notfallmedizin;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/63;2193-6218;2193-6226;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
64;Operative Orthop�die und Traumatologie;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/64;0934-6694;1439-0981;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
66;Strahlentherapie und Onkologie;Springer;Medicine & Public Health;https://link.springer.com/journal/66;0179-7158;1439-099X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;APC updated;;2019-11-14
68;European Journal of Trauma and Emergency Surgery;Springer;Medicine & Public Health;https://link.springer.com/journal/68;1863-9933;1863-9941;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;APC updated;;2019-11-14
92;Uro-News;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/92;1432-9026;2196-5676;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
101;Der Anaesthesist;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/101;0003-2417;1432-055X;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
103;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;Springer;Medicine & Public Health;https://link.springer.com/journal/103;1436-9990;1437-1588;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
104;Der Chirurg;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/104;0009-4722;1433-0385;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
105;Der Hautarzt;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/105;0017-8470;1432-1173;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
106;HNO;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/106;0017-6192;1433-0458;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
107;European Journal of Wood and Wood Products;Springer;Life Sciences;https://link.springer.com/journal/107;0018-3768;1436-736X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
108;Der Internist;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/108;1432-1289;1432-1289;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
109;Journal of Molecular Medicine;Springer;Biomedicine;https://link.springer.com/journal/109;0946-2716;1432-1440;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
112;Monatsschrift Kinderheilkunde;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/112;0026-9298;1433-0474;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
113;Der Unfallchirurg;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/113;0177-5537;1433-044X;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
114;The Science of Nature;Springer;Life Sciences;https://link.springer.com/journal/114;0028-1042;1432-1904;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
115;Der Nervenarzt;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/115;0028-2804;1433-0407;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
117;Der Radiologe;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/117;0033-832X;1432-2102;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
120;Der Urologe;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/120;0340-2592;1433-0563;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
122;Theoretical and Applied Genetics;Springer;Life Sciences;https://link.springer.com/journal/122;0040-5752;1432-2242;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
125;Diabetologia;Springer;Medicine & Public Health;https://link.springer.com/journal/125;0012-186X;1432-0428;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
126;Mineralium Deposita;Springer;Earth Sciences;https://link.springer.com/journal/126;0026-4598;1432-1866;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
127;Social Psychiatry and Psychiatric Epidemiology;Springer;Medicine & Public Health;https://link.springer.com/journal/127;0933-7954;1433-9285;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;APC updated;;2019-11-14
128;Bulletin of Environmental Contamination and Toxicology;Springer;Environment;https://link.springer.com/journal/128;0007-4861;1432-0800;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
129;Der Gyn�kologe;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/129;0017-5994;1433-0393;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
132;Der Orthop�de;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/132;0085-4530;1433-0431;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
134;Intensive Care Medicine;Springer;Medicine & Public Health;https://link.springer.com/journal/134;0342-4642;1432-1238;Open Choice;January 2020;n/a;;n/a;CC BY-NC;yes;;;;;
138;Machine Vision and Applications;Springer;Computer Science;https://link.springer.com/journal/138;0932-8092;1432-1769;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
142;Arthroskopie;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/142;0933-7946;1434-3924;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
145;Journal of Cryptology;Springer;Computer Science;https://link.springer.com/journal/145;0933-2790;1432-1378;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
146;AI and Society;Springer;Computer Science;https://link.springer.com/journal/146;0951-5666;1435-5655;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
148;Journal of Population Economics;Springer;Economics;https://link.springer.com/journal/148;0933-1433;1432-1475;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
153;Archive for Mathematical Logic;Springer;Mathematics;https://link.springer.com/journal/153;0933-5846;1432-0665;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
158;Structural and Multidisciplinary Optimization;Springer;Engineering;https://link.springer.com/journal/158;1615-147X;1615-1488;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
159;The Astronomy and Astrophysics Review;Springer;Physics;https://link.springer.com/journal/159;0935-4956;1432-0754;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
161;Continuum Mechanics and Thermodynamics;Springer;Physics;https://link.springer.com/journal/161;0935-1175;1432-0959;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
162;Theoretical and Computational Fluid Dynamics;Springer;Engineering;https://link.springer.com/journal/162;0935-4964;1432-2250;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
163;Research in Engineering Design;Springer;Engineering;https://link.springer.com/journal/163;0934-9839;1435-6066;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
165;Formal Aspects of Computing;Springer;Computer Science;https://link.springer.com/journal/165;0934-5043;1433-299X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
167;Knee Surgery, Sports Traumatology, Arthroscopy;Springer;Medicine & Public Health;https://link.springer.com/journal/167;0942-2056;1433-7347;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
168;The Annals of Regional Science;Springer;Economics;https://link.springer.com/journal/168;0570-1864;1432-0592;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
170;The International Journal of Advanced Manufacturing Technology;Springer;Engineering;https://link.springer.com/journal/170;0268-3768;1433-3015;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
180;Computational Statistics;Springer;Statistics;https://link.springer.com/journal/180;0943-4062;1613-9658;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
181;Empirical Economics;Springer;Economics;https://link.springer.com/journal/181;0377-7332;1435-8921;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
182;International Journal of Game Theory;Springer;Economics;https://link.springer.com/journal/182;0020-7276;1432-1270;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
184;Metrika;Springer;Statistics;https://link.springer.com/journal/184;0026-1335;1435-926X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
186;Mathematical Methods of Operations Research;Springer;Mathematics;https://link.springer.com/journal/186;1432-2994;1432-5217;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
187;Journal of Management Control;Springer;Business and Management;https://link.springer.com/journal/187;2191-4761;2191-477X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
190;Journal of Geodesy;Springer;Earth Sciences;https://link.springer.com/journal/190;0949-7714;1432-1394;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
191;Journal of Evolutionary Economics;Springer;Economics;https://link.springer.com/journal/191;0936-9937;1432-1386;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
192;International Urogynecology Journal;Springer;Medicine & Public Health;https://link.springer.com/journal/192;0937-3462;1433-3023;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
193;Shock Waves;Springer;Engineering;https://link.springer.com/journal/193;0938-1287;1432-2153;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
194;Rechtsmedizin;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/194;0937-9819;1434-5196;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
198;Osteoporosis International;Springer;Medicine & Public Health;https://link.springer.com/journal/198;0937-941X;1433-2965;Open Choice;January 2020;n/a;;n/a;CC BY-NC;yes;;;;;
199;Economic Theory;Springer;Economics;https://link.springer.com/journal/199;0938-2259;1432-0479;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
200;Applicable Algebra in Engineering, Communication and Computing;Springer;Computer Science;https://link.springer.com/journal/200;0938-1279;1432-0622;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
202;Electrical Engineering;Springer;Engineering;https://link.springer.com/journal/202;0948-7921;1432-0487;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
203;Archives of Microbiology;Springer;Life Sciences;https://link.springer.com/journal/203;0302-8933;1432-072X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
204;Archives of Toxicology;Springer;Biomedicine;https://link.springer.com/journal/204;0340-5761;1432-0738;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
205;Archive for Rational Mechanics and Analysis;Springer;Physics;https://link.springer.com/journal/205;0003-9527;1432-0673;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
208;Mathematische Annalen;Springer;Mathematics;https://link.springer.com/journal/208;0025-5831;1432-1807;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
209;Mathematische Zeitschrift;Springer;Mathematics;https://link.springer.com/journal/209;0025-5874;1432-1823;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
210;Naunyn-Schmiedeberg's Archives of Pharmacology;Springer;Biomedicine;https://link.springer.com/journal/210;0028-1298;1432-1912;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
211;Numerische Mathematik;Springer;Mathematics;https://link.springer.com/journal/211;0029-599X;0945-3245;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
213;Psychopharmacology;Springer;Biomedicine;https://link.springer.com/journal/213;0033-3158;1432-2072;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
214;Theoretical Chemistry Accounts - Theory, Computation, and Modeling;Springer;Chemistry;https://link.springer.com/journal/214;1432-881X;1432-2234;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
216;Analytical and Bioanalytical Chemistry;Springer;Chemistry;https://link.springer.com/journal/216;1618-2642;1618-2650;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
217;European Food Research and Technology;Springer;Chemistry;https://link.springer.com/journal/217;1438-2377;1438-2385;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
220;Communications in Mathematical Physics;Springer;Physics;https://link.springer.com/journal/220;0010-3616;1432-0916;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
221;Experimental Brain Research;Springer;Biomedicine;https://link.springer.com/journal/221;0014-4819;1432-1106;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
222;Inventiones Mathematicae;Springer;Mathematics;https://link.springer.com/journal/222;0020-9910;1432-1297;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
223;Calcified Tissue International;Springer;Life Sciences;https://link.springer.com/journal/223;;1432-0827;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
224;Theory of Computing Systems;Springer;Computer Science;https://link.springer.com/journal/224;1432-4350;1433-0490;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
226;Wood Science and Technology;Springer;Life Sciences;https://link.springer.com/journal/226;0043-7719;1432-5225;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
227;Marine Biology;Springer;Life Sciences;https://link.springer.com/journal/227;0025-3162;1432-1793;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
228;European Journal of Clinical Pharmacology;Springer;Biomedicine;https://link.springer.com/journal/228;0031-6970;1432-1041;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
229;manuscripta mathematica;Springer;Mathematics;https://link.springer.com/journal/229;0025-2611;1432-1785;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
231;Heat and Mass Transfer;Springer;Engineering;https://link.springer.com/journal/231;0947-7411;1432-1181;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
232;The Journal of Membrane Biology;Springer;Life Sciences;https://link.springer.com/journal/232;;1432-1424;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
233;Semigroup Forum;Springer;Mathematics;https://link.springer.com/journal/233;0037-1912;1432-2137;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
234;Neuroradiology;Springer;Medicine & Public Health;https://link.springer.com/journal/234;0028-3940;1432-1920;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
236;Acta Informatica;Springer;Computer Science;https://link.springer.com/journal/236;0001-5903;1432-0525;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
238;European Journal of Plastic Surgery;Springer;Medicine & Public Health;https://link.springer.com/journal/238;;1435-0130;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
239;Journal of Molecular Evolution;Springer;Life Sciences;https://link.springer.com/journal/239;0022-2844;1432-1432;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
240;Urolithiasis;Springer;Medicine & Public Health;https://link.springer.com/journal/240;2194-7228;2194-7236;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
244;Archives of Environmental Contamination and Toxicology;Springer;Environment;https://link.springer.com/journal/244;0090-4341;1432-0703;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
245;Applied Mathematics and Optimization;Springer;Mathematics;https://link.springer.com/journal/245;0095-4616;1432-0606;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
246;Pediatric Cardiology;Springer;Medicine & Public Health;https://link.springer.com/journal/246;0172-0643;1432-1971;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
247;Pediatric Radiology;Springer;Medicine & Public Health;https://link.springer.com/journal/247;0301-0449;1432-1998;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
248;Microbial Ecology;Springer;Life Sciences;https://link.springer.com/journal/248;0095-3628;1432-184X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
249;European Biophysics Journal;Springer;Life Sciences;https://link.springer.com/journal/249;0175-7571;1432-1017;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
251;Immunogenetics;Springer;Biomedicine;https://link.springer.com/journal/251;0093-7711;1432-1211;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
253;Applied Microbiology and Biotechnology;Springer;Life Sciences;https://link.springer.com/journal/253;0175-7598;1432-0614;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
256;Skeletal Radiology;Springer;Medicine & Public Health;https://link.springer.com/journal/256;0364-2348;1432-2161;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
259;European Journal of Nuclear Medicine and Molecular Imaging;Springer;Medicine & Public Health;https://link.springer.com/journal/259;1619-7070;1619-7089;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
261;Abdominal Radiology;Springer;Medicine & Public Health;https://link.springer.com/journal/261;;2366-0058;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
262;Cancer Immunology, Immunotherapy;Springer;Medicine & Public Health;https://link.springer.com/journal/262;;1432-0851;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
264;International Orthopaedics;Springer;Medicine & Public Health;https://link.springer.com/journal/264;0341-2695;1432-5195;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
265;Behavioral Ecology and Sociobiology;Springer;Life Sciences;https://link.springer.com/journal/265;0340-5443;1432-0762;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
266;Aesthetic Plastic Surgery;Springer;Medicine & Public Health;https://link.springer.com/journal/266;0364-216X;1432-5241;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
267;Environmental Management;Springer;Environment;https://link.springer.com/journal/267;0364-152X;1432-1009;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
268;World Journal of Surgery;Springer;Medicine & Public Health;https://link.springer.com/journal/268;0364-2313;1432-2323;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
269;Physics and Chemistry of Minerals;Springer;Earth Sciences;https://link.springer.com/journal/269;0342-1791;1432-2021;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
270;CardioVascular and Interventional Radiology;Springer;Medicine & Public Health;https://link.springer.com/journal/270;0174-1551;1432-086X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
271;Irrigation Science;Springer;Life Sciences;https://link.springer.com/journal/271;0342-7188;1432-1319;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
276;Surgical and Radiologic Anatomy;Springer;Medicine & Public Health;https://link.springer.com/journal/276;;1279-8517;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
277;Annals of Hematology;Springer;Medicine & Public Health;https://link.springer.com/journal/277;0939-5555;1432-0584;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
278;Psychotherapeut;SpringerMedizin;Medicine & Public Health;https://link.springer.com/journal/278;0935-6185;1432-2080;Open Choice;January 2020;yes;;n/a;CC BY;yes;;;;;
280;Cancer Chemotherapy and Pharmacology;Springer;Medicine & Public Health;https://link.springer.com/journal/280;;1432-0843;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
281;Seminars in Immunopathology;Springer;Biomedicine;https://link.springer.com/journal/281;1863-2297;1863-2300;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
283;The Mathematical Intelligencer;Springer;Mathematics;https://link.springer.com/journal/283;0343-6993;1866-7414;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
284;Current Microbiology;Springer;Life Sciences;https://link.springer.com/journal/284;0343-8651;1432-0991;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
285;Journal of Mathematical Biology;Springer;Mathematics;https://link.springer.com/journal/285;0303-6812;1432-1416;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
287;Informatik-Spektrum;Springer;Computer Science;https://link.springer.com/journal/287;0170-6012;1432-122X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
289;Polymer Bulletin;Springer;Chemistry;https://link.springer.com/journal/289;0170-0839;1436-2449;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
